-100,-100,29,0.638148667601683,455.0
-100,-100,10,0.2608695652173913,186.0
-100,-100,25,0.09256661991584852,66.0
-100,-100,18,0.008415147265077139,6.0
-1,-100,29,~S,~S
-1,-100,10,~S,~S
4,-100,29,~S,~S
4,-100,25,~S,~S
5,-100,29,~S,~S
6,-100,29,0.64375,103.0
6,-100,10,0.275,44.0
6,-100,25,0.075,12.0
6,-100,18,0.00625,1.0
7,-100,29,~S,~S
7,-100,25,~S,~S
8,-100,29,0.6666666666666666,18.0
8,-100,10,0.2962962962962963,8.0
8,-100,25,0.037037037037037035,1.0
9,-100,29,0.5238095238095238,11.0
9,-100,10,0.42857142857142855,9.0
9,-100,25,0.047619047619047616,1.0
11,-100,29,~S,~S
11,-100,10,~S,~S
12,-100,29,0.5723684210526315,87.0
12,-100,10,0.3026315789473684,46.0
12,-100,25,0.1118421052631579,17.0
12,-100,18,0.013157894736842105,2.0
13,-100,29,0.72,18.0
13,-100,10,0.16,4.0
13,-100,25,0.12,3.0
14,-100,29,0.6470588235294118,11.0
14,-100,10,0.23529411764705882,4.0
14,-100,25,0.11764705882352941,2.0
15,-100,29,0.5714285714285714,20.0
15,-100,10,0.3142857142857143,11.0
15,-100,25,0.11428571428571428,4.0
16,-100,29,0.5925925925925926,16.0
16,-100,10,0.2962962962962963,8.0
16,-100,25,0.1111111111111111,3.0
17,-100,29,~S,~S
19,-100,29,0.5833333333333334,14.0
19,-100,10,0.25,6.0
19,-100,25,0.16666666666666666,4.0
20,-100,29,~S,~S
20,-100,10,~S,~S
21,-100,29,0.782608695652174,18.0
21,-100,10,0.13043478260869565,3.0
21,-100,25,0.08695652173913043,2.0
22,-100,29,~S,~S
22,-100,10,~S,~S
23,-100,29,~S,~S
23,-100,10,~S,~S
23,-100,25,~S,~S
24,-100,29,0.6910569105691057,85.0
24,-100,10,0.1951219512195122,24.0
24,-100,25,0.08943089430894309,11.0
24,-100,18,0.024390243902439025,3.0
26,-100,29,0.5416666666666666,13.0
26,-100,10,0.375,9.0
26,-100,25,0.08333333333333333,2.0
27,-100,29,~S,~S
27,-100,10,~S,~S
28,-100,29,~S,~S
28,-100,10,~S,~S
30,-100,29,~S,~S
30,-100,25,~S,~S
6,0,29,0.6785714285714286,19.0
6,0,10,0.2857142857142857,8.0
6,0,25,0.03571428571428571,1.0
8,0,29,~S,~S
9,0,29,~S,~S
9,0,10,~S,~S
12,0,29,0.5757575757575758,19.0
12,0,10,0.3333333333333333,11.0
12,0,25,0.09090909090909091,3.0
13,0,29,~S,~S
13,0,10,~S,~S
16,0,29,~S,~S
16,0,10,~S,~S
17,0,29,~S,~S
19,0,29,~S,~S
19,0,10,~S,~S
20,0,29,~S,~S
20,0,10,~S,~S
21,0,29,~S,~S
21,0,10,~S,~S
23,0,29,~S,~S
23,0,25,~S,~S
24,0,29,0.7230769230769231,47.0
24,0,10,0.15384615384615385,10.0
24,0,25,0.09230769230769231,6.0
24,0,18,0.03076923076923077,2.0
26,0,29,~S,~S
26,0,10,~S,~S
28,0,10,~S,~S
-100,0,29,0.6688311688311688,103.0
-100,0,10,0.24675324675324675,38.0
-100,0,25,0.07142857142857142,11.0
-100,0,18,0.012987012987012988,2.0
-1,1,29,~S,~S
-1,1,10,~S,~S
4,1,29,~S,~S
5,1,29,~S,~S
6,1,29,0.5135135135135135,19.0
6,1,10,0.3783783783783784,14.0
6,1,25,0.10810810810810811,4.0
7,1,29,~S,~S
8,1,29,~S,~S
8,1,10,~S,~S
8,1,25,~S,~S
9,1,29,~S,~S
9,1,10,~S,~S
11,1,29,~S,~S
12,1,29,0.4888888888888889,22.0
12,1,10,0.3111111111111111,14.0
12,1,25,0.17777777777777778,8.0
12,1,18,0.022222222222222223,1.0
13,1,29,~S,~S
13,1,10,~S,~S
13,1,25,~S,~S
14,1,29,~S,~S
14,1,25,~S,~S
15,1,29,~S,~S
15,1,10,~S,~S
15,1,25,~S,~S
16,1,29,~S,~S
16,1,10,~S,~S
16,1,25,~S,~S
19,1,29,~S,~S
19,1,10,~S,~S
19,1,25,~S,~S
20,1,29,~S,~S
21,1,29,~S,~S
21,1,25,~S,~S
22,1,10,~S,~S
23,1,10,~S,~S
24,1,29,0.5925925925925926,16.0
24,1,10,0.2962962962962963,8.0
24,1,25,0.07407407407407407,2.0
24,1,18,0.037037037037037035,1.0
26,1,29,~S,~S
26,1,10,~S,~S
27,1,29,~S,~S
30,1,29,~S,~S
-100,1,29,0.5810055865921788,104.0
-100,1,10,0.27932960893854747,50.0
-100,1,25,0.12849162011173185,23.0
-100,1,18,0.0111731843575419,2.0
-1,2,29,~S,~S
4,2,29,~S,~S
6,2,29,0.6862745098039216,35.0
6,2,10,0.2549019607843137,13.0
6,2,25,0.0392156862745098,2.0
6,2,18,0.0196078431372549,1.0
7,2,25,~S,~S
8,2,29,0.75,9.0
8,2,10,0.25,3.0
9,2,29,~S,~S
9,2,10,~S,~S
9,2,25,~S,~S
